Grid_ID,Ecoregion,F_AREA
327,222,93238336
328,222,93238336
329,222,93238336
330,222,93238336
331,222,93238336
332,222,93238336
333,222,93238336
334,222,93238336
335,222,93238336
336,222,93238336
337,222,93238336
338,222,93238336
339,222,93238336
340,222,93238336
341,222,93238336
342,222,93238336
343,222,93238336
344,222,93238336
345,222,93238336
346,222,93238336
347,222,93232537.11
347,212,5798.89
348,222,10046159.07
348,212,10456970.87
358,222,93238336
359,222,93238336
360,222,93238336
361,222,93238336
362,222,93238336
363,222,93238336
364,222,93238336
365,222,93238336
366,222,93238336
367,222,93238336
368,222,93238336
369,222,93238336
370,222,93238336
371,222,93238336
372,222,93238336
373,222,93238336
374,222,93238336
375,222,93238336
376,222,93238336
377,222,93238336
378,222,93238336
379,222,93238336
380,222,93238336
381,222,93238336
382,222,93238336
383,222,93238336
384,222,93238336
385,222,93238336
386,222,93238336
387,222,93238336
388,222,93238336
389,222,93238336
390,222,93238336
391,222,93238336
392,222,93238336
393,222,93238336
394,222,93238336
395,222,93238336
396,222,93238336
397,222,93238336
398,222,82732164.35
398,212,10506171.65
399,222,1235014.05
399,212,13410364.91
409,222,93238336
410,222,93238336
411,222,93238336
412,222,93238336
413,222,93238336
414,222,93238336
415,222,93238336
416,222,93238336
417,222,93238336
418,222,93238336
419,222,93238336
420,222,93238336
421,222,93238336
422,222,93238336
423,222,93238336
424,222,93238336
425,222,93238336
426,222,93238336
427,222,93238336
428,222,93238336
429,222,93238336
430,222,93238336
431,222,93238336
432,222,93238336
433,222,93238336
434,222,93238336
435,222,93238336
436,222,93238336
437,222,93238336
438,222,93238336
439,222,93238336
440,222,93238336
441,222,93238336
442,222,93238336
443,222,93238336
444,222,93238336
445,222,93238336
446,222,93238336
447,222,93238336
448,222,93238336
449,222,43373977.01
449,212,47803299.07
450,212,5266935.8
460,222,93238336
461,222,93238336
462,222,93238336
463,222,93238336
464,222,93238336
465,222,93238336
466,222,93238336
467,222,93238336
468,222,93238336
469,222,93238336
470,222,93238336
471,222,93238336
472,222,93238336
